id,name
MET ,MET - METTATEC
3CO ,3CO - 3CORETEL
3S ,3S - 3S Navigation Inc.
ACC ,ACC - Antcom Corporation
AER ,AER - Aero Antenna Technology Inc.
AGO ,"AGO - Guangzhou Alpha Geo-Info Co., Ltd"
AKT ,"AKT - Akasaka Tech Co., Ltd."
ANT ,ANT - Ally Nav Technology
AOA ,AOA - Allen Osborne Associates
AOJ ,AOJ - Allen Osborne JPL
AON ,AON - Allen Osborne NGS
APS ,APS - Altus Positioning Systems
ARF ,ARF - Atlanta RF Tech LLC
AS ,AS - Ardu Simple
ASC ,ASC - Ascen Korea Co. Ltd.
ASH ,ASH - Ashtech
AST ,AST - Alpha Surveying
AYI ,"AYI - Shenzhen Ayia Electronic Tech Co. Ltd.

                                                "
BEI ,BEI - Beitian
BMS ,BMS - Beijing METSTAR Radar Co. Ltd.
CHA ,CHA - Champion Instruments LLC
CHC ,"CHC - Shanghai HuaCe Navigation Technology Ltd.

                                                "
CMN ,"CMN - ComNav, Richmond, BC, Canada"
CNT ,CNT - ComNav Technology Ltd
CNV ,CNV - C-Nav
DGR ,DGR - DataGrid Inc.
DYW ,DYW - Dywell
EFI ,"EFI - EFIX Geomatics Co., LTD"
EML ,EML - EMLID
EOS ,EOS - Eos Positioning Systems
ESV ,ESV - eSurvey GNSS
FJD ,FJD - FJDynamics
FOI ,FOI - Suzhou FOIF Co. Ltd.
GDC ,GDC - Geodetic
GFF ,GFF - Geo-Fennel GmbH
GIN ,GIN - Guangzhou GEOSURV Information Technology Co.Ltd.
GMT ,GMT - GEOMATE POSITIONING PTE. LTD.
GMW ,GMW - General Microwave Company
GMX ,GMX - GeoMax AG
GUT ,GUT - Gutec AB
HEM ,HEM - Hemisphere GNSS
HFX ,HFX - HYFIX
HGG ,"HGG - High Gain Information Technology Co. Ltd.

                                                "
HIT ,HIT - HI-Target
HRZ ,HRZ - Horizon
HXC ,HXC - Harxon Corporation
HZC ,HZC - HZC Technology Co. Ltd
IGA ,IGA - IGage Mapping Corporation
ITT ,ITT - ITT
JAV ,JAV - Javad GNSS Inc.
JCA ,"JCA - ZHEJIANG JC Antenna Co., Ltd"
JNS ,JNS - Javad Navigation Systems Inc.
JPS ,JPS - Javad Positioning Systems Inc.
JUN ,"JUN - Juniper Systems, Inc."
KMD ,"KMD - Komine Musen Denki Co., Ltd."
KOL ,KOL - Guangdong Kolida Instrument Co. Ltd.
LEI ,LEI - Leica Geosystems AG
MAC ,MAC - Macrometer
MAG ,MAG - Magellan Professional
MPL ,MPL - MicroPulse
MVE ,MVE - MVE Ltd
MYZ ,MYZ - Myzox
NAV ,NAV - NavCom Technology Inc.
NAX ,NAX - NavXperience
NOR ,NOR - North
NOV ,NOV - NovAtel Inc.
POL ,POL - Polaris GNSS
PRN ,"PRN - PRIN, JSC."
QSI ,QSI - Qianxun Spatial Intelligence Inc.
RLV ,RLV - ROLAVILLC
RNG ,RNG - Rusnavgeoset
RSI ,RSI - Ruide Surveying Instrument Co. Ltd.
SEN ,SEN - Sensor Systems Inc.
SEP ,SEP - Septentrio Satellite Navigation N.V.
SFE ,SFE - SparkFun Electronics
SIT ,SIT - SingularXYZ Intelligent Technology
SJT ,SJT - San Jose Technology Inc.
SKL ,SKL - Sikaihulian
SKY ,SKY - Skye Interconnection
SLG ,SLG - Satlab GeoSolutions AB
SMI ,SMI - SMI
SOI ,SOI - SANDING Optic-electric Instrument Co
SOK ,SOK - Sokkia Topcon Co. Ltd.
SPP ,SPP - Spectra Precision
SST ,SST - SpaceStar Technology Co. LTD
STH ,STH - SOUTH
STX ,STX - Stonex
SWE ,SWE - SWEGEO
THA ,THA - Thales
TIA ,TIA - TIAsahi
TNV ,TNV - Toknav
TOI ,TOI - TIANYU Optical and Electronic Instr.
TOP ,TOP - Topcon Corp.
TPM ,TPM - Topomap
TPS ,TPS - Topcon Positioning Systems Inc.
TRM ,TRM - Trimble Navigation Ltd.
TRS ,TRS - Tersus GNSS Inc
TTN ,TTN - Titan
TWI ,TWI - Tallysman Wireless Inc.
UNI ,UNI - UniStrong
VLG ,VLG - VLG Wireless Technology
VOL ,VOL - Volvo AB
WIE ,WIE - Wieson International Co. Ltd.